target_address,target_exgraph_node_id,full_asof__kmeans,full_asof__gmm,full_asof__hdbscan,trajectory__kmeans,trajectory__gmm,network__kmeans
0x0050facd2c04930257438b213fe9e132a26e5a29,1199914,6,2,-1,0,3,-1
0x005643de88a18e6e03ea2861e392008786528128,319972,3,5,7,0,3,-1
0x0059b216929ef8f8c1af9effc34cd0187c793206,137803,7,2,-1,2,2,-1
0x005df2c23953547d2502d39d32448f59bc9e61d3,404064,0,6,-1,2,2,-1
0x005fd30b00f66d0d016e3512d03464a1d237c154,649929,7,1,2,2,2,2
0x0064647c242aa552211033b8286d27f13ee90c6b,15262,7,1,2,2,2,4
0x0064dd1840a0e5284280244f2da76aef484c6cd3,13351,7,2,7,2,2,-1
0x00651b9e2924f1a5b63f6460832ab211e5829190,592031,8,9,2,1,1,2
0x00674d49943f7627b9faa63e5d6392f25294a19a,239308,9,5,3,4,4,-1
0x006bc8f90b6f03ef37a6d8491870b61d4f1fe41e,143053,4,2,7,2,2,-1
0x006d85f6ac839c8f7ab3487b926b8c65f0e9db39,1303187,1,0,-1,2,2,4
0x00737ac98c3272ee47014273431fe189047524e1,662572,7,2,7,2,2,-1
0x007630bb54cd536f91b3f2be98f949b446448252,326726,2,3,-1,3,0,-1
0x0076959c7dea34f452424db14da93f596c0100a9,58742,7,8,-1,1,3,2
0x0077337bb1cb96a064f22596c53be73021b38736,117156,8,8,2,1,1,2
0x007c2249f1e2905106b555e28e3f6198cce75ec6,27740,1,6,-1,2,2,4
0x007f6d2808d556c665864f32df11a044e6b27c21,1331216,9,5,-1,4,4,-1
0x007f89a9f013bf1a18470c8f3e7710fbc42cc780,250883,4,5,-1,0,3,-1
0x008002b51606ecfa9117fc3c70df79376e110198,1205258,2,4,3,3,0,-1
0x00834767b49d8b3029f895939cb0cd7332d27dc9,955946,6,2,7,0,3,-1
0x0086e763bb526c5cc79409ef701ddb3ac203d423,21184,8,7,-1,1,1,2
0x008d170150f165be428336cf41a202a6eb4201d2,878116,7,2,7,2,2,-1
0x009988ff77eeaa00051238ee32c48f10a174933e,3879,4,2,-1,2,2,-1
0x009be2a49bf5e2ab024fefcc306be4fb1e9bddce,326824,9,5,6,0,4,-1
0x00a609aed2aec6af5eef85f3f3268c13ca6549ee,1718,3,2,-1,0,3,-1
0x00a6dd3c9c5d41045a2da1a7f0ea7dcc44fa95aa,951199,3,2,-1,0,2,-1
0x00a6e5cce82d2980ac2ab8268bfcf2233465243a,558745,4,2,-1,2,3,-1
0x00a7656b153eec9d4fe193a2b41d7a5e7d394817,315834,1,0,2,2,2,4
0x00a839de7922491683f547a67795204763ff8237,906,7,2,-1,2,1,-1
0x00aa065d404b8b777eb539f650b6fdacf7024aa9,297013,1,6,0,0,2,3
0x00acfdd59ac5b3279c4160d87d096c3410414057,329138,3,2,-1,2,2,-1
0x00adb585cf72cd9640bde638ae36b7d170c61129,320593,8,8,-1,2,1,4
0x00afd146df0f7b6510837ca0ec06a0205a35f7d3,1345955,4,5,-1,1,1,-1
0x00b9d5cb57bd8b4c30188e3aa9a309c2c16fc9c0,465950,9,5,-1,4,4,-1
0x00b9f9883171ac2413937f7692093b91a2f5bb9f,870116,3,2,-1,2,3,-1
0x00bf6f3d10e3625ff79db5671abb9e1e7fd84ea6,270944,5,7,-1,1,1,1
0x00c059746f6bf3c4642a2bebce59cf1424731507,316078,2,4,3,3,0,-1
0x00c33401c7f6674583bce7d1acb0f5a2542cadc7,24101,2,2,-1,3,0,-1
0x00c980f967b3e94e471c94d226da998e1eb55a33,87291,8,7,2,1,1,4
0x00cea046a9e884f456d668e52d50b4f093497552,830713,2,4,4,3,0,-1
0x00d10cf10f38f0d2cf12e6494a63c9cccb9d406f,86385,8,8,-1,1,1,4
0x00d3133dcacaf0480fcebcc8c50ebb66923d2b18,87974,5,9,1,1,1,0
0x00de0f9ab317f45f4be9077a484543296633c727,319532,9,5,-1,4,4,-1
0x00e951c9373166bcb5e11bc9a5fef75393bd2ffb,1251678,2,3,9,3,0,-1
0x00efd72506709a6faec6e235a0ed7b99f6930687,200290,3,2,-1,0,2,-1
0x00f5ae692d8934728c6d44211979e43e01da21c4,176151,4,2,-1,2,2,-1
0x00f8c499b8979e8470ed5a21c5c632e4c4097ab9,320071,3,0,-1,0,3,2
0x00fb2499403afeccd48f0fb29da41cde8c113d4b,36049,8,9,2,1,1,0
0x00fde583de457a124d0df576609f0795ad8767de,217698,0,6,-1,2,2,2
0x00feb034eb9472943c21138fa2c4e5cac6cfa34a,716329,4,2,7,0,2,-1
0x010009d51dcc8b55df17379b596e5de06578b42b,258615,7,2,-1,2,1,-1
0x0100913ae819a7a053ed4cc58a9beae4afcdcdf2,253941,2,5,-1,3,4,-1
0x010218a9ccf4e40286604f4c5ccaef4d8069c1f1,358405,8,9,-1,1,1,4
0x010c851668ca46274c112e62bafabb2b5fa43899,902179,4,0,2,2,2,2
0x010d7eafcec7589832aca1170aeb23d21951d396,238239,5,9,-1,1,1,1
0x011093322a9cbdc707b371996f8b4100bfa8793c,187975,6,0,-1,2,3,2
0x01163f6894493f9ecb59c30807a1296b0e00cbba,56976,1,0,2,2,3,4
0x0119f846b06211063f06b7428d6a4926fcddb0ca,1079012,8,8,-1,2,1,4
0x012127e43022b43bdde010657e6552f25694e0e0,123589,0,6,-1,2,2,2
0x012db66110d211e5aa15171b15265384f22fd1de,1312237,7,2,-1,2,2,-1
0x0135c43822ef732e41d3bf05e4e17080aeef0a03,1372281,0,6,-1,0,3,-1
0x0137fcc521219ba98207f056c2c762031c2001d0,102824,7,1,2,2,2,4
0x0144d105721b6d70bd6202e0b8ccdca949e52143,319144,2,3,2,3,0,2
0x014607f2d6477badd9d74bf2c5d6356e29a9b957,425095,7,2,-1,2,2,-1
0x01467dea2dcb2b134b1e9bc1eff1aaebe03dc69f,238255,7,2,7,2,2,-1
0x01497493ab2f6a94e1c88552becc779ea81309ac,60954,4,2,-1,2,2,-1
0x014e6d321522e30b15c67ca94a06eceb754993c0,1450498,4,2,7,2,2,-1
0x015294253d30f2858027be757a6a1f34328fbb55,91036,3,5,7,0,3,-1
0x015706079e0c488e8014d775dda4489327e9eb4a,214418,7,2,-1,1,1,-1
0x0157f42990d460133504f52758ae07ad52fdd40e,1274312,6,5,7,0,3,-1
0x015abe15a4fd0f8654e84f1543fde9786dd19282,296260,7,2,-1,2,1,-1
0x015e4390ea3013ccc4ae09fc44be5d0ceac3bfc1,295017,4,2,-1,2,2,-1
0x015f08af4fe34e94bf363034b62033fe5167ec32,47903,8,9,-1,1,1,0
0x01660dbf1dfa34787488a7b42d401a3ab442b148,1348740,2,3,9,3,0,-1
0x016dbc709b8c1667d7303e2c4129167d660dc010,3306,5,7,1,1,1,1
0x016e6fa25988b3849560ec102371733d93c4cbb7,635477,4,2,7,2,2,-1
0x0179f6a0fe55245ff0f26b447ae60b7b388fe4c8,112628,4,2,7,2,2,-1
0x018695c5660fc0bf3a3f50c5d81477686c2ffa5e,1533115,3,2,-1,0,2,-1
0x0187c9a182736ba18b44ee8134ee438374cf87dc,193450,5,7,-1,1,1,1
0x018d46212f1ae4928ab4271fc3947c4db1c3ed01,468394,3,5,7,0,3,-1
0x018e1ca5723d6009819d326d8387392914653d10,655235,6,0,-1,0,3,2
0x019285701d4502df31141df600a472c61c054e63,621877,7,2,-1,2,1,-1
0x019c59207866cfa338545d0cbbe3a4fca5f8b366,18944,8,8,2,1,1,2
0x01a18b4adbc7a0e19fcfbdf63e85ec6f3c9ce9e7,527923,7,8,2,1,1,2
0x01a19569d2520cf729a23e10e793b083dff5a1b1,195967,4,2,-1,2,3,-1
0x01a2ff227d2392aa12a66f770593b33c76d95a2b,33244,4,5,-1,0,2,-1
0x01a4004e62f5ca12f443b71ff5a7fd2ab2070824,414444,4,2,7,2,3,-1
0x01a5639e13497c3e4f6819e54e0288cdc9f43d8c,40474,4,2,7,0,3,-1
0x01aa782a5014bb9efbdf38a3c8ca5bdbd7127630,1289086,9,5,-1,4,4,-1
0x01ad75dc5a57680bd83bef6b9ba91dd21520543f,317841,4,0,2,2,2,2
0x01c1021abf0d8668e86f0376d5aafafd85f1c630,11357,2,4,4,3,0,-1
0x01c2a6eb1568c1a3e0b8fe864056fac8b4867f77,548531,6,2,7,2,2,-1
0x01c38875ab789cb12efcd791db91217a00fd01fa,60573,5,7,1,1,1,0
0x01c43c852b330e70c7c4f69e1197c221c97d5455,290020,4,0,2,2,2,2
0x01d0c54ae316df512f101720d5c456305dcb3352,61559,4,2,7,2,2,-1
0x01d22c18df22f5fa6ed3a82e918c4df677777e64,319916,1,0,-1,2,1,4
0x01d6f0b38e2814dd8ef0163bfc05492eb7ea9b23,22563,8,8,2,1,1,2
0x01d76cbbc329122c20966bff45809c74cf570c7c,560653,6,5,-1,0,3,-1
0x01d7e3765f40b744350b508fa8cb14f383fd4e51,1238560,3,0,2,0,3,4
0x01def1b46e40053e46a1d76d6968ae3f344d09b2,274764,6,2,-1,2,3,-1
0x01e32bdf122d698384f38b5deb3f48128d08a346,413753,8,8,2,2,1,4
0x01e3884fc9c200c59f602e5c7259aab0910f2d3c,176055,1,6,-1,2,2,0
0x01e5d2d4ef0140461826f2ba2e4e4874f382c4e8,1360670,3,0,-1,1,1,2
0x01e90545e7cf9550ec0aad3ee9b91af7b158a221,213661,6,6,-1,0,3,4
0x01f1ed82767dfc53885c9fa5f4bd52483dd1413c,327612,4,2,-1,2,2,-1
0x01f2ea8d6594f6eb69027f7ddcc1d700bbdbbe48,57976,8,9,2,1,1,2
0x01f3af577c0e7a35eda1f193e7d81c8bac95f886,372348,6,5,7,0,3,-1
0x01f4656464aa02e10a48b2e3ee8117749f1cabea,495965,7,2,-1,1,1,-1
0x01f4c1eada10b3eb9074817530771f9199315636,351402,9,5,5,4,4,-1
0x01f92b2a0b7f7cc02c571bc220fae3462f00a6a5,1301825,2,0,2,3,1,2
0x01f9bfcbc23cf6a09b18b568676518c501182930,32431,6,5,7,0,3,-1
0x01fb51f8a664f0f2b7cf8f6eee89f7c1b7e05ba1,118212,8,7,-1,1,1,-1
0x01fda25ee1b979c463248b8236b66c12b256b850,1362999,1,0,-1,2,2,4
0x01fe27a8df144de0abaa53aead1de69be79f0e9a,630372,3,5,-1,2,2,-1
0x02003099e673dd8f2b76abc962c4def8f03f1f1e,86688,8,7,-1,1,1,4
0x02009e3ac8ab9c4179de9ce1fbab2013fb9bc614,815878,2,4,4,3,0,-1
0x0202c1ef524680443f8c2961dd907953a374ead4,318272,4,0,-1,2,2,2
0x02081f465b8bd66058d50ef1a985d0c7af695363,1803,5,7,1,1,1,1
0x020a33bfaf1d12a821307ba3b0b879650f5c1727,213020,2,2,-1,3,1,-1
0x020af8d7bced2833acedca0cd5bf8df3ed4fb3c0,295058,1,1,-1,2,1,4
0x020e3bab43c5e1bc5116bd13ff0ca012f15d32e3,1609958,6,5,7,0,3,-1
0x0219d8688f5644373fe74057f350a125aabb8ded,319071,3,5,-1,0,2,-1
0x021bed907ab598f7bdda1b65827786a8b7f461f3,422693,4,2,7,2,2,-1
0x021c1a907884332d9c1e6fdd616e2e70a377eaef,319547,3,0,-1,0,3,2
0x02215fd6feea58a4e51ce95c60182e9d39da99a0,229930,1,0,2,2,2,2
0x02228f25f26a56fdacb41de13e6014e316b20ac0,116264,4,2,7,2,2,-1
0x0223b033fe732601907a9ba50406082c39266221,612030,7,8,1,1,1,-1
0x022b266d1aa39725a4e64aee661f0277461e4e39,506129,1,6,-1,2,3,0
0x022e73a40f6a719bdde859620c1191fa3554be1d,157899,4,2,-1,2,2,-1
0x022fa528157b44a25ab1f376c4e57310d77ad362,1245949,9,5,-1,4,4,-1
0x022fd450a42a12cbc5e5155133b5839f92f45aa4,83927,7,1,2,2,2,2
0x023647d20f9f71383a25be857bfef311bfb3d85a,61960,2,3,-1,3,0,-1
0x0239769a1adf4def9f07da824b80b9c4fcb59593,2021,7,1,2,2,3,2
0x0239e1afca669151f2a3f840a651717145f7585d,191436,9,5,7,4,4,-1
0x023ac3323ccacceb409d475cac89bbe6d3d6832c,319976,1,0,-1,2,1,4
0x023e1cab80a675eb6966b0a8e5cb4188208f9d38,664148,9,5,3,4,4,-1
0x0248f6b4e00d35d1313c35625119321629393fdc,320727,3,0,2,0,3,2
0x024aee37f4bb174f1c97cc87b8c41c9ebc9dc601,449753,8,9,2,1,1,0
0x024c4ed6a39ad1ea7309200ef7a9052c198d60de,533768,6,2,-1,0,3,-1
0x024d245e90d4dd66fa2f7bd3a9154b9b47a1efc3,1366436,2,3,9,3,0,-1
0x024dc10a605aed0724cd5d126a46ba647cbd655a,320485,2,3,10,3,0,-1
0x0255715dcf6d853f86c9b3f89311f79ef5c6524a,250837,6,5,6,0,3,-1
0x0255e0748dae97695acd1506b7efa18cb7a38ce9,938771,7,1,2,2,2,2
0x0255f8206c12491be91d81630424fa2e7d008b94,455699,7,2,-1,2,2,-1
0x02567d98dba79f6acf3798521fb517aa6f40a888,16486,7,2,7,1,1,-1
0x0256c28028cac3e504f1b6c20bf7b3f4631e0d97,110764,7,8,2,2,1,2
0x025d5b428030aca6b9befb490e0f793d88806741,946044,6,5,-1,0,3,-1
0x0263ed9b335c0062ce9e61c1771007d69b63845f,165131,7,8,-1,1,1,2
0x026514e83e2baa6f13fe897994d762499c971e4a,550603,7,2,7,2,3,-1
0x0265d778ad45c897b0c4d4d98addce3b61c91995,592776,0,6,-1,2,2,2
0x0266e34df00e57361159ee0dde895899e3f93f5c,413479,4,2,7,2,2,-1
0x02676a1bfcd75f1e80020c2ca966a0bce98d0ea5,106275,8,9,2,1,1,2
0x02699738962ada8fd55bd7e4e479abc9e848205a,165613,5,7,1,1,1,0
0x026d1aaea25b4f17e4b05f0e0df96b8934092232,130267,8,8,2,1,1,4
0x026f36dead1cc6c522a201dbdd7410421bb45303,381475,7,1,2,2,2,2
0x026fa50c5f451980ccfa08197207d06e3619a8ad,388038,7,2,-1,2,2,-1
0x02714ff90542a77d4ffb3e55193432fe13be237c,11418,4,0,2,2,2,2
0x027395cabdc7bc3ee2265a313cd996a58854f029,1373666,3,5,7,0,3,-1
0x0273b8b2ae8216ae2ee7a85a2688a99cd20eb9fd,321872,1,6,-1,2,2,0
0x027747771ce20e60d24344e2a62a1377960cced0,24979,4,2,-1,2,2,-1
0x0279273242ea0a8be97f682221c0c7f9187416db,139996,1,1,-1,2,2,1
0x0279d4721b734bf7b171c182893c19290896bc4a,1742171,2,3,9,3,0,-1
0x027a513b9df74e49433d1e436670c588d1a8b420,152945,4,0,2,2,2,2
0x027c72c22072f9fd5fff0e8a82cecd5dcf3ae7ee,164500,6,5,7,0,3,-1
0x02820115e5d400b2e61b387642f47c98585fef00,1170622,4,2,7,2,2,-1
0x0282e055d3b2f7c0ad656952ac1bb989fb6d0086,61610,7,2,-1,2,2,-1
0x028ca317beb7e7cabffa0dd40bc5d41bc4d971d9,1125954,0,6,-1,0,2,-1
0x029901739aa11d23f8eabe70771b757a0533222e,80645,7,1,2,1,1,2
0x029a870ac6e8551d1a09209c4b28e773b3ecd432,43505,5,9,2,1,1,0
0x029e60a1ba22989f260c0dc2f2f680ab2650da41,224761,6,5,-1,0,3,-1
0x02a168020c8f00e13883fdb5584d7d2aca7d11e2,43024,4,2,7,2,2,-1
0x02a400ee3b638c18883abfcef4fb9849fa750aed,70727,3,5,-1,0,3,-1
0x02a53270b4e64afa18dcbc7a1b71b9c1038a6ad5,1376609,3,2,-1,2,3,-1
0x02a69bea7260a644e1085ad955c0b86284578269,223444,1,1,-1,2,3,4
0x02a82fb722cd09bffe6bb506e5e5b5d803c8d85d,287698,6,5,-1,0,2,-1
0x02ad18cb388e7704b998a0aed9540c6a135a7714,132909,4,2,-1,0,2,-1
0x02b100e9c1ce9045a6f37339e745a837bc6125d9,3275,6,5,-1,0,3,-1
0x02b1608637f1cc7e2097b30be0bfd2c1c77a66b9,201215,7,2,7,1,1,-1
0x02badcf5717d156a7c064612b28b1fad76deb753,1222436,7,8,1,2,2,-1
0x02bd046d6e8d7bb76733ef8ec84068eb239615ac,498628,9,5,-1,4,4,-1
0x02c2ca0c5e140d82cd10bf5641515f10b17a2b9b,203193,4,2,-1,2,3,-1
0x02c579d2b5eed9e08a371349730e35fe3d6bcc0a,1200030,7,2,7,2,2,-1
0x02cb9739432cecae59af7492f4f17531b9f27de8,1416718,4,2,-1,2,2,-1
0x02d5aaf51e74be71ad72a5d8623f544112bfb18e,319328,4,2,-1,2,2,-1
0x02da608fbff7e0abcf4ad34a6b1fbe4f3effa544,28620,8,9,2,1,1,4
0x02dde750ab11398545206f571bb77b6706996376,318997,1,1,-1,2,1,3
0x02e0afe8e68619d6fd7b49d1fd2bbb0aed3f0807,205404,8,7,-1,1,1,2
0x02e8f5b606ff955aea63de3b395788c616ad8d57,1247842,7,2,7,2,2,-1
0x02ec815ff5778e958875e4a2c1496a7a444c8aaf,734977,4,2,-1,2,2,-1
0x02f26174aeddeab523c87fbd9cddd7f74bd81d02,1296336,2,3,-1,3,0,-1
0x02f2b856e0238f434c142bf4e7ae3854e0529eee,1201237,7,1,-1,2,2,2
0x02f46aeba738e6912f14b8facd9d65b2fe7aae4d,604888,6,0,-1,0,3,2
0x02f935f324bfd547ce8c062f02e02c0599c5cc5e,1384600,4,2,-1,0,2,-1
0x02fbfd73646d8f637ba0a71fdca73c637fc6fc9f,1362574,2,3,9,3,0,-1
0x02fe8dad22d4d1e58c911b630aa3501540da40a4,1307493,3,0,-1,1,1,2
0x0303e20207bf1f42aaba97d30d798006c146a1cb,1365140,2,4,3,3,0,-1
0x030528dc4d1d6132eb618bf245241204ab0989e5,52970,8,8,1,1,1,4
0x0306db21582524cb3f7eb43547b8deb9f70e3ab6,1310833,2,3,10,3,0,-1
0x0308cbccd5e1a570c2b5797456fb56ba510713fb,190434,7,2,-1,2,1,-1
0x03093ac9b19f5cd1c0177adbf7d3765e710c70cf,247774,7,0,2,2,2,2
0x030a59341a21fa1da065b834b16a9d43f0ab2850,315887,3,5,7,0,3,-1
0x0313b09e8ee8a0932dbeb76c4d7c46055969c7c4,857359,2,0,-1,3,1,2
0x0317c78426ada576a71527a7e9dbf09c25f1dccb,285740,8,1,2,2,2,4
0x03182349ed75f4aa64ee92c62949bb0a5ab78ed5,1269461,2,3,8,3,0,-1
0x031901bbb7cf0d86a457c16abf10099e3aeb6844,325699,9,5,5,4,4,-1
0x031b9fee3fa957d9e8cbb2790477266bfe41c03b,1595147,8,8,2,2,1,4
0x0320255391e3388d67bb11e334727f9537fff693,1076125,2,5,-1,3,1,-1
0x0325e8654aed6723c80f0d0e1860ba7d06baf0ed,1314174,2,4,3,3,0,-1
0x0325ecfda41d5f319b59a26dccbf00dd8066db61,142458,3,0,-1,2,2,2
0x032807e684c85d1592d9bc91952fd13389da0076,268188,0,6,1,2,2,-1
0x032a069ab2c98a4329e4ff0b30642485ed78cfb3,317917,4,0,2,2,2,4
0x03351328843940bb13b014d3acf3debf9fa75525,46093,4,2,7,2,3,-1
0x03367fb11320833040a678f95e15285c19afe25f,305923,4,2,7,2,3,-1
0x0338ce5020c447f7e668dc2ef778025ce398266b,109952,5,7,-1,1,1,1
0x033c5467b1566ff82d4b5de53794d52a2536e984,1436058,7,8,1,1,1,-1
0x033f4781b8d2edcc1461fee5b917cd476e717997,101618,7,8,-1,2,2,-1
0x0341e5d01989cb91942997beaad3c8e904ea101e,359022,7,8,2,2,2,2
0x03471b7311bf5bf86798deac107155b925821b67,316674,2,4,3,3,0,-1
0x0349d969506ad7f8379ae4164f975ae7859e73b7,770015,6,5,-1,0,4,-1
0x034d2f43c33f0cff711a1afddb0d555a2dfe4585,636324,5,9,1,1,1,0
0x03516d4b32305f3bbe6e84615eaf8dac106a2b3d,407710,9,5,-1,0,4,-1
0x035239bcd05bb3d00f98b143c45a4fd438a59a51,1282175,3,6,-1,0,3,4
0x03539a24bbc1549e7b928a4507781c6257842696,163057,3,5,-1,0,3,-1
0x0354b03919a8c2ecad52b510acf799dc4bc673c2,1382498,2,4,4,3,0,-1
0x03576d59d983436688664926105a4795def1d381,13875,8,8,-1,1,1,4
0x0357857e0f3f21100d919f824fef7e1de34e4640,1226190,2,3,9,3,0,-1
0x0358ade8ef630b9037687fb12e27d77dd1b0edf8,194904,6,5,-1,0,3,-1
0x035ebd096afa6b98372494c7f08f3402324117d3,296192,8,9,1,1,1,2
0x035edaf9606e808c67cdedd91756b9fd8811c4b2,436831,4,2,7,2,2,-1
0x03630ef125909dbc26e0d21697dbf9c84a600106,274200,2,2,-1,3,1,-1
0x0363ff749dfff9a5bbaf820fd656dbf507218d86,328413,2,3,2,3,0,2
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,10457,8,9,2,1,1,0
0x0369af271cf7c7f108a14f0857af99ea2f7f30a7,377813,4,2,7,2,2,-1
0x036dbf52ba4c6f58b0855d9c0fd3997d67180361,608904,7,2,7,2,1,-1
0x037175fc9104f0ec4edee1c098a070a61e41938d,352984,3,5,7,0,4,-1
0x0373b214a437a0692e29ba651f6ba27357a9ebbc,1805817,6,5,7,0,3,-1
0x0376f4063a63bd22ad628d90170e3fc9ef634a54,312359,3,2,-1,3,4,-1
0x03777bc796f13863644621acacfc18a052fc6a20,15508,1,1,-1,2,1,3
0x0377aa308c44855217a1d900f39828d5d9def153,1491467,6,2,-1,2,1,-1
0x03794673064da7862d4e08a09927fc59a9dd3f4f,227931,1,1,-1,1,3,3
0x037a1139fa5cde222ff7d71ec15474d35b23928d,724818,2,4,3,3,0,-1
0x037ccb73fd73f956901bcc4851040db81b8769d2,348131,1,1,-1,2,2,4
0x03873131edc18c7581ca876f9568744545aaf624,1091366,1,1,2,2,2,4
0x038964628048c15960bd9b1594b56b8688b434ee,210806,1,1,2,2,2,4
0x038a0104bda6161b3ada9ba18bef0cbc54984e38,331333,1,1,-1,2,2,4
0x038d7ab03429c8430631b2c0f945c68e020739bb,1288826,3,5,-1,1,2,-1
0x03971bf0bda3617725690f7ae20e9a027c2ff66c,47530,4,5,-1,0,3,-1
0x039c43d65ceca9591897b9d37695122eb3212574,860046,3,5,7,0,3,-1
0x039d4c471104263080530abec1c90ae7ad7c9170,318735,4,2,-1,2,2,-1
0x039dc1442aa9207bd058bd452eabf3d4bcbb7c13,163137,7,0,-1,1,1,2
0x03a025afad1e656b9df32f2620717875a48e6b1a,342816,7,2,7,1,1,-1
0x03a16426e4a44d2e91c3af4cb7e13679db6c5e6c,1055185,8,9,2,1,1,0
0x03a1752d689ac9ef936898189aa9c0a7011842b9,528307,7,9,-1,2,1,-1
0x03a1f76a666a9cf9240a17827f780ee9a62b6af6,34421,0,6,-1,2,2,-1
0x03a317e1ff0176d464be99641398b8098ffef4d7,1294875,1,1,-1,2,2,0
0x03a8726172fa51d64b0c3d583de5876e73d73d0e,72662,7,8,2,2,2,2
0x03aa122abab15aa852b1450596dbacd2345317bd,1026843,7,2,7,1,1,-1
0x03af94d788a17d00691ecec60dd10ebbc41212a3,142894,2,5,-1,3,4,-1
0x03b7869c647322d1907b872ab7696a478e60c6c7,325460,1,1,-1,2,3,1
0x03bf6d33dc4269f4262d3a75030cd318f3dab32b,666854,4,2,7,2,2,-1
0x03c0d4d87b86b3fe198224bfc8950675f5e8e838,77683,7,2,-1,1,1,-1
0x03c19a8432904f450cc90ba1892329deb43c8077,320667,3,0,2,0,3,2
0x03c9738caade04c20a007761a28cd404fdfb150a,1710762,3,5,7,0,3,-1
0x03cad661e0d68ea30c96750f542ac211f041d21f,323908,1,6,0,2,2,3
0x03cafdab8f78bb2c737979eff76d589fc53af1ca,192476,2,5,-1,3,1,-1
0x03d15ec11110dda27df907e12e7ac996841d95e4,311316,8,9,2,1,1,4
0x03d8c0ad8b77f486115e46a16d7cf22067ea7fc0,79934,8,8,-1,2,3,4
0x03d91febbbd7f0c6484d94d0e740edff90d0654b,16820,1,0,2,2,2,4
0x03d980014f994402ad11b2237c4e7abe3d0b82bc,425957,6,5,-1,0,3,-1
0x03da39d3ea57e830f370c09b12e9e7352643468e,262090,8,8,2,2,1,2
0x03de089093adcf49856a542ca3a0836e45e23d70,75902,7,2,-1,2,1,-1
0x03e212b0e39fcf48bcd4a913d702faebce5c7ed2,320576,1,1,-1,2,2,3
0x03e43c2530a9ee2c94530fa45e9c15260fb19019,1373127,9,0,-1,4,4,2
0x03e51cc7381cf0c50f838bb8edf74ea74a4cbe55,1368580,1,6,-1,2,3,3
0x03e65f4a6e186e75b07fa46df1395b631145c02b,730026,4,2,-1,2,3,-1
0x03f3ffbf20a979d2514ac74942b38305572d5cbe,579822,4,0,-1,2,2,2
0x03f52a039d9665c19a771204493b53b81c9405af,89778,7,8,2,1,1,4
